,CBA-WBC,CBA-ANZ,CBA-NAB,CBA-MQG,WBC-ANZ,WBC-NAB,WBC-MQG,ANZ-NAB,ANZ-MQG,NAB-MQG
2014-08-04,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.02,0.2
2014-08-05,0.0,0.0,0.0,0.05,0.0,0.0,0.03,0.0,0.0,0.44
2014-08-06,0.0,0.0,0.0,0.04,0.0,0.0,0.05,0.0,0.02,0.46
2014-08-07,0.0,0.0,0.0,0.05,0.0,0.0,0.04,0.0,0.02,0.4
2014-08-08,0.0,0.0,0.0,0.08,0.0,0.0,0.02,0.0,0.01,0.34
2014-08-11,0.0,0.0,0.0,0.04,0.0,0.0,0.1,0.0,0.02,0.32
2014-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.39
2014-08-13,0.0,0.0,0.0,0.01,0.0,0.0,0.08,0.0,0.0,0.35
2014-08-14,0.0,0.0,0.0,0.11,0.0,0.0,0.06,0.0,0.04,0.32
2014-08-15,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.07,0.26
2014-08-18,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.01,0.39
2014-08-19,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.35
2014-08-20,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.05,0.18
2014-08-21,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.01,0.23
2014-08-22,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.0,0.05,0.28
2014-08-25,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.44
2014-08-26,0.0,0.0,0.0,0.08,0.0,0.0,0.02,0.0,0.01,0.31
2014-08-27,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.3
2014-08-28,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.31
2014-08-29,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.37
2014-09-01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.29
2014-09-02,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.01,0.32
2014-09-03,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.01,0.19
2014-09-04,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.01,0.19
2014-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.15
2014-09-08,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.02,0.12
2014-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
2014-09-10,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.11
2014-09-11,0.0,0.0,0.0,0.07,0.0,0.0,0.01,0.0,0.0,0.09
2014-09-12,0.0,0.0,0.0,0.03,0.0,0.0,0.05,0.0,0.0,0.12
2014-09-15,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.13
2014-09-16,0.0,0.0,0.0,0.03,0.0,0.0,0.04,0.0,0.05,0.17
2014-09-17,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.22
2014-09-18,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.19
2014-09-19,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.03,0.15
2014-09-22,0.0,0.0,0.0,0.02,0.0,0.0,0.07,0.0,0.04,0.19
2014-09-23,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.03,0.22
2014-09-24,0.0,0.0,0.0,0.02,0.0,0.0,0.05,0.0,0.06,0.16
2014-09-25,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.05,0.1
2014-09-26,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.03,0.1
2014-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.07,0.24
2014-09-30,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.06,0.21
2014-10-01,0.0,0.0,0.0,0.05,0.0,0.0,0.07,0.0,0.09,0.13
2014-10-02,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.11,0.1
2014-10-03,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.19,0.08
2014-10-06,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.14,0.0
2014-10-07,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.07,0.1
2014-10-08,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.12,0.08
2014-10-09,0.0,0.0,0.0,0.04,0.0,0.0,0.05,0.0,0.1,0.11
2014-10-10,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.0,0.07,0.08
2014-10-13,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.0,0.08,0.04
